DRUG_0	ECALLANTIDE
DRUG_761	CHEMBL586135
DRUG_762	DEXAMETHASONE
DRUG_763	CHEMBL261693
DRUG_764	INDOMETHACIN
DRUG_765	ATORVASTATIN
DRUG_766	NITRENDIPINE
DRUG_767	CHEMBL591834
DRUG_768	CHEMBL1445650
DRUG_769	DULOXETINE
DRUG_770	GUANIDINE HYDROCHLORIDE
DRUG_771	TEDISAMIL
DRUG_772	NERISPIRDINE
DRUG_773	DALFAMPRIDINE
DRUG_774	ISOTRETINOIN
DRUG_775	ETHOXZOLAMIDE
DRUG_776	ACETAZOLAMIDE
DRUG_777	TEZAMPANEL
DRUG_778	TOPIRAMATE
DRUG_779	DASOLAMPANEL
DRUG_780	SELURAMPANEL
DRUG_781	LATREPIRDINE
DRUG_782	ORPHENADRINE
DRUG_783	NERAMEXANE
DRUG_784	MEMANTINE
DRUG_785	INDANTADOL
DRUG_786	NERAMEXANE MESYLATE
DRUG_787	ORPHENADRINE CITRATE
DRUG_788	CNS-5161
DRUG_789	LANICEMINE
DRUG_790	ACAMPROSATE CALCIUM
DRUG_791	FELBAMATE
DRUG_792	DEXTROMETHORPHAN
DRUG_793	KETAMINE
DRUG_794	ESKETAMINE
DRUG_795	AZD8108
DRUG_796	DEXANABINOL
DRUG_797	ACAMPROSATE
DRUG_798	ESKETAMINE HYDROCHLORIDE
DRUG_799	RALFINAMIDE
DRUG_800	DELUCEMINE
DRUG_801	AV-101
DRUG_802	MEMANTINE HYDROCHLORIDE
DRUG_803	KETAMINE HYDROCHLORIDE
DRUG_804	APIMOSTINEL
DRUG_805	ORPHENADRINE HYDROCHLORIDE
DRUG_806	AMANTADINE HYDROCHLORIDE
DRUG_807	NEBOGLAMINE
DRUG_808	GW468816
DRUG_809	RAPASTINEL
DRUG_810	APAMIN
DRUG_811	DEQUALINIUM
DRUG_812	SODIUM CHLORIDE
DRUG_813	TACROLIMUS
DRUG_814	VOCLOSPORIN
DRUG_815	PIMECROLIMUS
DRUG_816	NAFAMOSTAT
DRUG_817	CAMOSTAT
DRUG_818	CITALOPRAM
DRUG_819	ASPIRIN
DRUG_820	FINASTERIDE
DRUG_821	DUTASTERIDE
DRUG_822	VANDORTUZUMAB VEDOTIN
DRUG_823	DIAZOXIDE
DRUG_824	CHLORPROMAZINE
DRUG_825	CARBENOXOLONE
DRUG_826	OCTANOL
DRUG_827	VARESPLADIB
DRUG_828	VARESPLADIB METHYL
DRUG_829	TRETINOIN
DRUG_830	PHLORETIN
DRUG_831	SOR-C13
DRUG_832	E324
DRUG_833	DIENESTROL
DRUG_834	N,N'-DIPHENYL-P-PHENYLENEDIAMINE
DRUG_835	TYRPHOSTIN AG 879
DRUG_836	DIHYDROXIDINE
DRUG_837	PSEUDOEPHEDRINE
DRUG_838	CHEMBL220845
DRUG_839	RHODOMYRTOXIN B
DRUG_840	MERCURIC CHLORIDE
DRUG_841	PHENYLMERCURIC ACETATE
DRUG_842	DIPYRONE SODIUM
DRUG_843	THIMEROSAL
DRUG_844	MESO-HEXESTROL
DRUG_845	CHEMBL238624
DRUG_846	4-CHLOROMERCURIBENZOIC ACID
DRUG_847	CHEMBL154580
DRUG_848	CHEMBL601616
DRUG_849	DIPYRIDAMOLE
DRUG_850	CHEMBL1091971
DRUG_851	CHEMBL1448292
DRUG_852	ARACHIDONOYL GLYCINE
DRUG_853	HINOKITIOL
DRUG_854	TROGLITAZONE
DRUG_855	CHEMBL169233
DRUG_856	CHEMBL602807
DRUG_857	EBSELEN
DRUG_858	FENTICLOR
DRUG_859	PYRITHIONE ZINC
DRUG_860	IBUPROFEN
DRUG_861	GALUNISERTIB
DRUG_862	RIFAMPIN
DRUG_863	THROMBIN
DRUG_864	ALTEPLASE
DRUG_865	MEDROXYPROGESTERONE ACETATE
DRUG_866	CHEMBL581225
DRUG_867	DOFETILIDE
DRUG_868	AZD1305
DRUG_869	CHEMBL146525
DRUG_870	IDARUBICIN HYDROCHLORIDE
DRUG_871	MITONAFIDE
DRUG_872	N-ACETYLASPARTIC ACID
DRUG_873	PERGOLIDE MESYLATE
DRUG_874	AZD7009
DRUG_875	AMIODARONE HYDROCHLORIDE
DRUG_876	PF-04457845
DRUG_877	ACETAMINOPHEN
DRUG_878	CHEMBL1915783
DRUG_879	PROPOFOL
DRUG_880	URB-597
DRUG_881	RISPERIDONE
DRUG_882	CHEMBL560590
DRUG_883	CHEMBL367966
DRUG_884	PHENMEDIPHAM
DRUG_885	JNJ-42165279
DRUG_886	THIOPENTAL
DRUG_887	DRONABINOL
DRUG_888	METHAMPHETAMINE
DRUG_889	QUETIAPINE
DRUG_890	ARIPIPRAZOLE
DRUG_891	NABIXIMOLS
DRUG_892	GLPG-0974
DRUG_893	OXAZEPAM
DRUG_894	CLOTIAZEPAM
DRUG_895	CHLORDIAZEPOXIDE
DRUG_896	QUAZEPAM
DRUG_897	CLORAZEPIC ACID
DRUG_898	ADINAZOLAM
DRUG_899	PRAZEPAM
DRUG_900	CLONAZEPAM
DRUG_901	FLURAZEPAM
DRUG_902	ESZOPICLONE
DRUG_903	TRIAZOLAM
DRUG_904	NITRAZEPAM
DRUG_905	THIAMYLAL
DRUG_906	CHLORDIAZEPOXIDE HYDROCHLORIDE
DRUG_907	REMIMAZOLAM
DRUG_908	MIDAZOLAM
DRUG_909	FLUMAZENIL
DRUG_910	ESTAZOLAM
DRUG_911	TEMAZEPAM
DRUG_912	LORAZEPAM
DRUG_913	ETOMIDATE
DRUG_914	SEVOFLURANE
DRUG_915	MEPROBAMATE
DRUG_916	BUTABARBITAL SODIUM
DRUG_917	ENFLURANE
DRUG_918	TALBUTAL
DRUG_919	PF-06372865
DRUG_920	BUTALBITAL
DRUG_921	PRIMIDONE
DRUG_922	ISOFLURANE
DRUG_923	SARIPIDEM
DRUG_924	HALAZEPAM
DRUG_925	ZOLPIDEM
DRUG_926	PENTOBARBITAL SODIUM
DRUG_927	SECOBARBITAL SODIUM
DRUG_928	STIRIPENTOL
DRUG_929	BENTAZEPAM
DRUG_930	DIAZEPAM
DRUG_931	DESFLURANE
DRUG_932	METHARBITAL
DRUG_933	PAGOCLONE
DRUG_934	FLUDIAZEPAM
DRUG_935	THIOPENTAL SODIUM
DRUG_936	ADIPIPLON
DRUG_937	THIAMYLAL SODIUM
DRUG_938	OCINAPLON
DRUG_939	BROMAZEPAM
DRUG_940	ETHCHLORVYNOL
DRUG_941	CINOLAZEPAM
DRUG_942	METHOXYFLURANE
DRUG_943	PENTOBARBITAL
DRUG_944	CLOBAZAM
DRUG_945	LOREDIPLON
DRUG_946	ETAZOLATE
DRUG_947	AZD-3043
DRUG_948	MIDAZOLAM HYDROCHLORIDE
DRUG_949	RESEQUINIL
DRUG_950	METHOHEXITAL SODIUM
DRUG_951	GANAXOLONE
DRUG_952	HALOTHANE
DRUG_953	PICROTOXIN
DRUG_954	TRICLOFOS SODIUM
DRUG_955	CLOMETHIAZOLE
DRUG_956	ALPRAZOLAM
DRUG_957	AZIETOMIDATE
DRUG_958	GLUTETHIMIDE
DRUG_959	MEBUTAMATE
DRUG_960	BREXANOLONE
DRUG_961	CLORAZEPATE DIPOTASSIUM
DRUG_962	METHYPRYLON
DRUG_963	EPOETIN ALFA
DRUG_964	FASUDIL
DRUG_965	AZACITIDINE
DRUG_966	NITROGLYCERIN
DRUG_967	SODIUM NITROPRUSSIDE
DRUG_968	NITRIC OXIDE
DRUG_969	ISOSORBIDE DINITRATE
DRUG_970	ISOSORBIDE MONONITRATE
DRUG_971	RIOCIGUAT
DRUG_972	BENRALIZUMAB
DRUG_973	CYCLOPENTYL PALMITATE
DRUG_974	TM30339
DRUG_975	OBINEPITIDE
DRUG_976	PEPTIDE YY HUMAN (3-36)
DRUG_977	NALMEFENE
DRUG_978	ALVIMOPAN
DRUG_979	COCAINE
DRUG_980	LEVALLORPHAN TARTRATE
DRUG_981	DAMGO
DRUG_982	SALVINORIN A
DRUG_983	NALORPHINE
DRUG_984	MEPERIDINE
DRUG_985	ETONITAZENE
DRUG_986	HYDROMORPHONE
DRUG_987	PENTAZOCINE
DRUG_988	CODEINE POLISTIREX
DRUG_989	NALTREXONE HYDROCHLORIDE
DRUG_990	CODEINE
DRUG_991	NALBUPHINE
DRUG_992	TRAMADOL
DRUG_993	CHEMBL570176
DRUG_994	ASIMADOLINE
DRUG_995	MORPHINE
DRUG_996	DIFELIKEFALIN
DRUG_997	SIROLIMUS
DRUG_998	CHEMBL428064
DRUG_999	12-EPI-SALVINORIN A
DRUG_1000	ANILERIDINE HYDROCHLORIDE
DRUG_1001	CODEINE PHOSPHATE
DRUG_1002	ENADOLINE
DRUG_1003	HYDROCODONE
DRUG_1004	SUFENTANIL
DRUG_1005	ATICAPRANT
DRUG_1006	CARFENTANIL
DRUG_1007	NALFURAFINE
DRUG_1008	OXYCODONE
DRUG_1009	ADL-5747
DRUG_1010	U-50488 METHANE SULFONATE
DRUG_1011	TIFLUADOM
DRUG_1012	BUTORPHANOL
DRUG_1013	NORBINALTORPHIMINE
DRUG_1014	HYDROCODONE POLISTIREX
DRUG_1015	CHEMBL546170
DRUG_1016	AXOMADOL
DRUG_1017	METHADONE
DRUG_1018	BUPRENORPHINE
DRUG_1019	NALTRIBEN
DRUG_1020	DEZOCINE
DRUG_1021	CLIOQUINOL
DRUG_1022	SAMIDORPHAN
DRUG_1023	CHEMBL1941031
DRUG_1024	BNTX
DRUG_1025	NALTREXONE
DRUG_1026	CHEMBL300662
DRUG_1027	QUADAZOCINE
DRUG_1028	BUPRENORPHINE HYDROCHLORIDE
DRUG_1029	ETHYLKETOCYCLAZOCINE
DRUG_1030	NALOXONE
DRUG_1031	NALTRINDOLE
DRUG_1032	CHEMBL442577
DRUG_1033	PROPOXYPHENE
DRUG_1034	FENTANYL
DRUG_1035	ALCOHOL
DRUG_1036	METHYLNALTREXONE
DRUG_1037	NALMEFENE HYDROCHLORIDE
DRUG_1038	CHEMBL2094567
DRUG_1039	U-69593
DRUG_1040	NORMORPHINE
DRUG_1041	NALFURAFINE HYDROCHLORIDE
DRUG_1042	DIHYDROMORPHINE
DRUG_1043	ETORPHINE
DRUG_1044	NIRAVOLINE
DRUG_1045	ODELEPRAN
DRUG_1046	BENZHYDROCODONE HYDROCHLORIDE
DRUG_1047	OXYMORPHONE HYDROCHLORIDE
DRUG_1048	HYDROCODONE BITARTRATE
DRUG_1049	CHLOROXINE
DRUG_1050	DIPRENORPHINE
DRUG_1051	CHEMBL255067
DRUG_1052	CODEINE SULFATE
DRUG_1053	CHEMBL433508
DRUG_1054	ANILERIDINE PHOSPHATE
DRUG_1055	BUTORPHANOL TARTRATE
DRUG_1056	DIACETYLMORPHINE
DRUG_1057	ZYKLOPHIN
DRUG_1058	NALBUPHINE HYDROCHLORIDE
DRUG_1059	NALOXONE HYDROCHLORIDE
DRUG_1060	APADOLINE
DRUG_1061	CEBRANOPADOL
DRUG_1062	GLUTACONATE
DRUG_1063	MALEIC ACID
DRUG_1064	MALONIC ACID
DRUG_1065	TADALAFIL
DRUG_1066	PENTOXIFYLLINE
DRUG_1067	ZAPRINAST
DRUG_1068	HEPARIN
DRUG_1069	GENTAMICIN
DRUG_1070	PIROXICAM
DRUG_1071	CORTISONE
DRUG_1072	DARAPLADIB
DRUG_1073	RILAPLADIB
DRUG_1074	EPOETIN BETA
DRUG_1075	NEOMYCIN
DRUG_1076	ASG-5ME
DRUG_1077	ADENOSINE DIPHOSPHATE
DRUG_1078	ADENOSINE
DRUG_1079	SPERMINE
DRUG_1080	ADENOSINE TRIPHOSPHATE
DRUG_1081	TESTOSTERONE
DRUG_1082	VASOACTIVE INTESTINAL PEPTIDE
DRUG_1083	SECRETIN
DRUG_1084	ALDESLEUKIN
DRUG_1085	TOSEDOSTAT
DRUG_1086	ANTAQ
DRUG_1087	AVATROMBOPAG
DRUG_1088	LUSUTROMBOPAG
DRUG_1089	WARFARIN
DRUG_1090	ESTRADIOL
DRUG_1091	ROQUINIMEX
DRUG_1092	INSULIN
DRUG_1093	LITHIUM
DRUG_1094	MIRTAZAPINE
DRUG_1095	PALIPERIDONE
DRUG_1096	AMISULPRIDE
DRUG_1097	RIGOSERTIB SODIUM
DRUG_1098	ATOPAXAR
DRUG_1099	VORAPAXAR SULFATE
DRUG_1100	VORAPAXAR
DRUG_1101	BLEOMYCIN
DRUG_1102	DALTEPARIN
DRUG_1103	THALIDOMIDE
DRUG_1104	ARGATROBAN
DRUG_1105	LEPIRUDIN
DRUG_1106	RUSALATIDE
DRUG_1107	ARSENIC TRIOXIDE
DRUG_1108	FOTEMUSTINE
DRUG_1109	SPERMIDINE
DRUG_1110	KU-55933
DRUG_1111	BERZOSERTIB
DRUG_1112	AZD-0156
DRUG_1113	PACLITAXEL
DRUG_1114	BINIMETINIB
DRUG_1115	VELIPARIB
DRUG_1116	SELUMETINIB
DRUG_1117	CHEMBL374632
DRUG_1118	NIRAPARIB
DRUG_1119	OLAPARIB
DRUG_1120	CHEMBL299853
DRUG_1121	ENPIROLINE
DRUG_1122	ESTRADIOL BENZOATE
DRUG_1123	CHEMBL74852
DRUG_1124	2X-121
DRUG_1125	CERALASERTIB
DRUG_1126	TALAZOPARIB
DRUG_1127	IBRUTINIB
DRUG_1128	FLUNARIZINE DIHYDROCHLORIDE
DRUG_1129	EVEROLIMUS
DRUG_1130	TRAMETINIB
DRUG_1131	NAFTIFINE HYDROCHLORIDE
DRUG_1132	MITOTANE
DRUG_1133	CHEMBL578061
DRUG_1134	VANDETANIB
DRUG_1135	CHEMBL601933
DRUG_1136	SCHISANHENOL
DRUG_1137	HEPTACHLOR
DRUG_1138	FLUDARABINE
DRUG_1139	CHEMBL606460
DRUG_1140	CHEMBL1329443
DRUG_1141	PERMETHRIN
DRUG_1142	PROTOPORPHYRIN DISODIUM
DRUG_1143	CHEMBL375673
DRUG_1144	TEMOZOLOMIDE
DRUG_1145	AZD-6482
DRUG_1146	METFORMIN
DRUG_1147	BENDAMUSTINE
DRUG_1148	CHEMBL1086377
DRUG_1149	USTEKINUMAB
DRUG_1150	BRIAKINUMAB
DRUG_1151	MIRIKIZUMAB
DRUG_1152	APILIMOD
DRUG_1153	CHLORPROPAMIDE
DRUG_1154	GLIMEPIRIDE
DRUG_1155	NATEGLINIDE
DRUG_1156	TOLBUTAMIDE
DRUG_1157	GLIPIZIDE
DRUG_1158	REPAGLINIDE
DRUG_1159	TOLBUTAMIDE SODIUM, STERILE
DRUG_1160	MITIGLINIDE
DRUG_1161	GLYBURIDE
DRUG_1162	GLIQUIDONE
DRUG_1163	ACETOHEXAMIDE
DRUG_1164	TOLAZAMIDE
DRUG_1165	GLICLAZIDE
DRUG_1166	NAMINIDIL
DRUG_1167	SARAKALIM
DRUG_1168	BERBERRUBINE
DRUG_1169	OXCARBAZEPINE
DRUG_1170	TETRACAINE HYDROCHLORIDE
DRUG_1171	PROCAINAMIDE HYDROCHLORIDE
DRUG_1172	LIDOCAINE
DRUG_1173	MEPHENYTOIN
DRUG_1174	QUINIDINE POLYGALACTURONATE
DRUG_1175	NKTR-171
DRUG_1176	PROPARACAINE HYDROCHLORIDE
DRUG_1177	ETHOTOIN
DRUG_1178	DYCLONINE HYDROCHLORIDE
DRUG_1179	QUINIDINE GLUCONATE
DRUG_1180	LAMOTRIGINE
DRUG_1181	FOSPHENYTOIN SODIUM
DRUG_1182	RILUZOLE
DRUG_1183	MERETHOXYLLINE PROCAINE
DRUG_1184	TOCAINIDE HYDROCHLORIDE
DRUG_1185	IRAMPANEL
DRUG_1186	PROPOXYCAINE HYDROCHLORIDE
DRUG_1187	SAXITOXIN
DRUG_1188	INDECAINIDE HYDROCHLORIDE
DRUG_1189	EVENAMIDE
DRUG_1190	DRONEDARONE HYDROCHLORIDE
DRUG_1191	BENOXINATE HYDROCHLORIDE
DRUG_1192	ESLICARBAZEPINE
DRUG_1193	PHENACEMIDE
DRUG_1194	ERLOSAMIDE
DRUG_1195	CHLOROPROCAINE HYDROCHLORIDE
DRUG_1196	PRILOCAINE
DRUG_1197	ETIDOCAINE HYDROCHLORIDE
DRUG_1198	PHENYTOIN SODIUM
DRUG_1199	RUFINAMIDE
DRUG_1200	HEXYLCAINE HYDROCHLORIDE
DRUG_1201	LIDOCAINE HYDROCHLORIDE
DRUG_1202	MEPIVACAINE HYDROCHLORIDE
DRUG_1203	MEXILETINE HYDROCHLORIDE
DRUG_1204	TETRACAINE
DRUG_1205	ROPIVACAINE HYDROCHLORIDE
DRUG_1206	QUINIDINE SULFATE
DRUG_1207	VERATRIDINE
DRUG_1208	PRILOCAINE HYDROCHLORIDE
DRUG_1209	CARBAMAZEPINE
DRUG_1210	ZONISAMIDE
DRUG_1211	ESLICARBAZEPINE ACETATE
DRUG_1212	DISOPYRAMIDE PHOSPHATE
DRUG_1213	MORICIZINE HYDROCHLORIDE
DRUG_1214	ARTICAINE HYDROCHLORIDE
DRUG_1215	PROCAINE HYDROCHLORIDE
DRUG_1216	PHENYTOIN
DRUG_1217	SAFINAMIDE
DRUG_1218	TETRODOTOXIN
DRUG_1219	FILGRASTIM
DRUG_1220	PLERIXAFOR
